icao_airl_code,perf_type,deviation_code,mel_dx_remark,mel_ofp_remark,p_tow,p_enrte_wt,p_lw,p_tcap,unit_weight,p_perf_corr,p_altitude,unit_vertical,p_speed_knots,p_speed_mach,unit_speed,p_etops_circles,unit_etops_circles,p_etops_critfuel_dc,p_etops_critfuel_dx,item_10a,item10_b,item18_rnav,item18_rnp,tcas,fms,landing_ep,ats_service_type,other_eq,auto_land_down,ils_down,aos_action,gls_down,rnp_precision_down,aime,eff_from,eff_till,action
HVN,87967,CDL57-51-24X2,"ONE PER WING MAY BE MISSING. THE TWO MOST INBOARD PANELS ON EACH WING MAY NOT BE MISSING. ON THE MISC SYSTEM CTRLS (MSC) MAINTENANCE PAGE, SET THE OVERSPEED WARNING SWITCH TO GEAR DOWN. LIMIT SPEED TO 270 KIAS/0.73 MACH. DO NOT APPLY LANDING GEAR EXTENDED PERFORMANCE PENALTIES *2 PANEL MISSING (1 PER WING). REDUCE PERFORMANCE LIMITED WEIGHTS",WING MIDSPAN FIXED TRAILING EDGE LOWER REMOVABLE PANELS. ,1724,1542,0,0,KG,0,0,FF,270,0.73,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-31X1,1 SEAL MISSING *APPLY PENALTY TAKE-OFF 794 ENROUTE 385 APPROACH & LANDING 227*,WING OUTBOARD FIXED TRAILING EDGE AILERON INBOARD END SEALS,794,385,227,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-31X2,"2 SEALS MISSING *APPLY PENALTY TAKE-OFF 1,588 ENROUTE 770 APPROACH & LANDING 454*",WING OUTBOARD FIXED TRAILING EDGE AILERON INBOARD END SEALS. ,1588,770,454,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-31X3,"+3 SEALS MISSING *APPLY PENALTY TAKE-OFF 1,769 ENROUTE 1,769 APPROACH & LANDING 1,769*",WING OUTBOARD FIXED TRAILING EDGE AILERON INBOARD END SEALS. ,1769,1769,1769,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-32X1,1 SEAL MISSING *APPLY PENALTY TAKE-OFF 658 ENROUTE 295 APPROACH & LANDING 204*,WING OUTBOARD FIXED TRAILING EDGE AILERON OUTBOARD END SEALS. ,658,295,204,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-32X2,"+2 SEALS MISSING *APPLY PENALTY TAKE-OFF 1,089 ENROUTE 1,089 APPROACH & LANDING 1,089*",WING OUTBOARD FIXED TRAILING EDGE AILERON OUTBOARD END SEALS. ,1089,1089,1089,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-33X1,1 SEAL MISSING *APPLY PENALTY TAKE-OFF 386 ENROUTE 181 APPROACH & LANDING 136*,WING OUTBOARD FIXED TRAILING EDGE LOWER AILERON SPANWISE SEALS. ,386,181,136,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-33X2,2 SEAL MISSING (1 PER WING) *APPLY PENALTY TAKE-OFF 772 ENROUTE 362 APPROACH & LANDING 272*,WING OUTBOARD FIXED TRAILING EDGE LOWER AILERON SPANWISE SEALS. ,772,362,272,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-34X1,1 PANEL MISSING *APPLY PENALTY TAKE-OFF 386 ENROUTE 181 APPROACH & LANDING 136*,WING OUTBOARD FIXED TRAILING EDGE AILERON LOWER LUBRICATION PANELS. ,386,181,136,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-34X2,2 PANELS MISSING *APPLY PENALTY TAKE-OFF 772 ENROUTE 362 APPROACH & LANDING 272*,WING OUTBOARD FIXED TRAILING EDGE AILERON LOWER LUBRICATION PANELS. ,772,362,272,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-34X3,"3 PANELS MISSING *APPLY PENALTY TAKE-OFF 1,158 ENROUTE 543 APPROACH & LANDING 408*",WING OUTBOARD FIXED TRAILING EDGE AILERON LOWER LUBRICATION PANELS. ,1158,543,408,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-34X4,"4 PANELS MISSING *APPLY PENALTY TAKE-OFF 1,544 ENROUTE 724 APPROACH & LANDING 544*",WING OUTBOARD FIXED TRAILING EDGE AILERON LOWER LUBRICATION PANELS. ,1544,724,544,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-35X1,01 AFFECTED AILERON *APPLY PENALTY TAKE-OFF 408 ENROUTE 181 APPROACH & LANDING 136*,WING OUTBOARD FIXED TRAILING EDGE AILERON BLISTER FAIRING SEALS. ,408,181,136,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-51-35X2,02 AFFECTED AILERON *APPLY PENALTY TAKE-OFF 816 ENROUTE 362 APPROACH & LANDING 272*,WING OUTBOARD FIXED TRAILING EDGE AILERON BLISTER FAIRING SEALS. ,816,362,272,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
